Sensor,Error,Threshold,Contributing
BFP_SEAL_WATER_FLOW,0.3261217263618937,0.431,False
BFP_SUCT_HDR_PRESS________,0.47734203298423983,0.431,True
AUX_CDSR_2B_PRESS_________,0.4319310883825985,0.431,True
BFP_SUCTION_HDR_TEMP______,0.4197267734936517,0.431,False
BFPT_B_VALVE_DEMAND_HP_STO,0.05844082069714282,0.431,False
BFPT_B_VALVE_DEMAND_LP_STO,0.30742183444257715,0.431,False
BFPT_B_CALC_VALVE_DEMAND__,0.33476556787780637,0.431,False
2B_TDBFP_RECIRC_VLV_DMD___,0.0955329539551535,0.431,False
BFP_2B_DISCHARGE_FLOW_____,0.5091835779142285,0.431,True
BFP_2B_IBRD_SEAL_INJ_FLOW_,0.3906931769766813,0.431,False
BFP_2B_OBRD_SEAL_INJ_FLOW_,0.42721840458430316,0.431,False
2B_TDBFP_DISCHARGE_FLOW___,0.5119389601628108,0.431,True
BFP_2B_BAL_DRUM_FLOW______,0.637188457809361,0.431,True
2B_TDBFP_RECIRC_VLV_POS___,0.10419035149948416,0.431,False
BFP_DSCH_HDR_PRESS________,0.5242185687726073,0.431,True
BFP_2B_LUBE_OIL_PRESS_____,0.3358775939914978,0.431,False
BFPT_2B_FIRST_STAGE_PRESS_,0.38727940888021517,0.431,False
2B_TDBFP_RECIRC_FLOW______,0.25647860916665305,0.431,False
BFPT_B_LP_SPEED_INPUT__1__,0.48774726717940026,0.431,True
BFPT_B_LP_SPEED_INPUT__2__,0.5101754685655325,0.431,True
BFP_DISCHARGE_HEADER_TEMP_,0.4228885681575626,0.431,False
BFP_2B_THRUST_BRG_TEMP____,0.5499844423782405,0.431,True
BFP_2B_IN_BRG_TEMP________,0.42650708857784475,0.431,False
BFP_2B_OUT_BRG_TEMP_______,0.4205311941543473,0.431,False
BFPT_2B_BRG_1_DRAIN_TEMP__,0.44440632510755457,0.431,True
BFPT_2B_BRG_2_DRAIN_TEMP__,0.4606895928051533,0.431,True
BFPT_2B_THRUST_BRG_DRAIN__,0.4332731236409194,0.431,True
BFP_2B_BARREL_TOP_IBRD_TEM,0.5033508960161922,0.431,True
BFP_2B_BARREL_BOT_IBRD_TEM,0.5188114647169071,0.431,True
BFP_2B_BARREL_TOP_OBRD_TEM,0.4457121733693009,0.431,True
BFP_2B_BARREL_BOT_OBRD_TEM,0.5511771925200426,0.431,True
BFPT_2B_IN_BRG_MTL_TEMP___,0.32673104820523574,0.431,False
BFP_2B_IBRD_SEAL_INJ_DRN_T,0.7633675238433244,0.431,True
BFP_2B_OBRD_SEAL_INJ_DRN_T,0.7753935500978679,0.431,True
2B_BFPT_ROTOR_VIB_OBRG____,0.3856510169838297,0.431,False
2B_BFPT_ROTOR_VIB_IBRB____,0.3988577384804378,0.431,False
BFPT_2B_RAD_SHAFT_VIB_OB_B,0.33181243234391666,0.431,False
BFPT_2B_RAD_SHAFT_VIB_IB_B,0.6283135601020527,0.431,True
BFP_2B_AXIAL_SHAFT_VIB____,0.43879871921519065,0.431,True
BFPT_2B_THRUST_BRG_WEAR___,0.3249470898567112,0.431,False
BFP_2B_RAD_SHAFT_VIB_OB_BR,0.4945834278331361,0.431,True
BFP_2B_RAD_SHAFT_VIB_IB_BR,0.5496003537839196,0.431,True
BFPT_2B_AXIAL_SHAFT_VIB___,0.43170397320934495,0.431,True
MAIN_STEAM_FLOW_TO_BFPS___,0.5184973341332092,0.431,True
EXT_STM_FLOW_TO_BFP_2B____,0.323196608013563,0.431,False
CW_FRM_AUX_CDSR_2B________,0.43570338070648973,0.431,True
CW_TO_AUX_CDS_2B,0.423276621311077,0.431,False
